Store Number,Name,Telephone,Address1,Address2,City,State,Zip,Latitude,Longitude
7258,Melrose Center,781-662-0217,521 Main Street,,Melrose,MA,02176-3835,42.455468,-71.064841
876,Winchester,781-729-1626,542 Main Street,,Winchester,MA,01890-2913,42.45203,-71.136821
7553,Lexington/Bedford Rd,781-863-1189,60 Bedford Street,,Lexington,MA,02420-4334,42.453613,-71.233316
866,Lexington,781-863-8485,1729 Massachusetts Ave,,Lexington,MA,02420-5306,42.4475,-71.226705
76681,Target Biddeford T-2166,207-284-2510,585 Alfred Rd,,Biddeford,ME,4005,43.474469,-70.513594
7283,Medford - Star Market,781-396-3630,2151 Mystic Valley Parkway,,Medford,MA,02155-3757,42.417173,-71.126646
7364,"Mass. Ave., Arlington",781-646-9366,1465 Massachusetts Ave,,Arlington,MA,02476-4103,42.425296,-71.188507
7205,Arlington,781-641-2893,327 Broadway,,Arlington,MA,02474-5303,42.414751,-71.15099
8988,Station Landing,781-395-0660,"5 Revere Beach Pkwy., Station Landing Phase 1",Station Landing Phase 1,Medford,MA,02155-5159,42.404329,-71.081279
10037,"Tilton, Tanger Outlet",603-286-2640,"120 Laconia Road, Suite 100",,Tilton,NH,03276-5235,43.457104,-71.563661
76315,Target Revere T-1942,781-922-6030,36 Furlong Dr,,Revere,MA,02151-4006,42.400825,-71.001876
816,Concord,978-287-0183,159 Sudbury Road,,Concord,MA,01742-3429,42.455669,-71.355854
15208,Target Everett T-1229,617-420-0000,1 Mystic View Rd,,Everett,MA,02149-2428,42.401847,-71.069932
14138,East Boston,617-561-3704,430 McClellan Highway,,East Boston,MA,02128-1144,42.393203,-71.012803
78032,BOS Term B AA Pre-Security,617-634-6097,440 McClellan Highway,,Boston,MA,02128-1125,42.393095,-71.013054
7502,Davis Square Plaza,617-623-4497,260 Elm Street,,Somerville,MA,02144-2951,42.395759,-71.122297
871,Belmont,617-484-3213,47 Leonard St.,,Belmont,MA,02478-2526,42.397256,-71.175393
7835,"Acton, Kelly's Corner",978-264-1992,411 Massachusettes Ave,,Acton,MA,01720-3739,42.47491,-71.451609
8873,"Cambridge, Fresh Pond",617-876-1070,222 Alewife Brook Parkway,,Cambridge,MA,2138,42.389322,-71.141328
2764,Somerville Avenue,617-776-6783,711-723 Somerville Ave,,Somerville,MA,02143-3530,42.386083,-71.114181
827,Shepard Post,617-491-0442,1662 Massachusetts Ave,,Cambridge,MA,02138-1838,42.381903,-71.119934
16917,Target Somerville T-1441,617-766-4036,180 Somerville Ave,,Somerville,MA,02143-3405,42.377651,-71.090108
75650,BOS - Terminal E - Food Court,617-634-6097,Boston Logan Term E Food Court,,East Boston,MA,2128,42.370131,-71.019672
810,Broadway Marketplace,617-491-9911,468 Broadway,,Cambridge,MA,02138-3908,42.373886,-71.11295
7241,31 Church,617-492-7870,31 Church Street,,Cambridge,MA,02138-3715,42.374494,-71.12017
7538,Belmont/Cushing Sq,617-489-8767,112 Trapelo Rd,,Belmont,MA,02478-1877,42.380603,-71.175129
7102,Harvard Yard,617-354-3726,1380 Mass Ave,,Cambridge,MA,2138,42.373456,-71.119328
861,Harvard Square,617-492-4881,36 JFK Street,,Cambridge,MA,02138-4910,42.372485,-71.119452
75840,BOS Boston/Logan Airport Term C,617-594-3506,Logan Airport terminal C,,Boston,MA,2128,42.366954,-71.016337
16158,BOS Terminal C Pier B,617-634-6031,300 Terminal C Gate C11,,East Boston,MA,2128,42.366954,-71.016337
7436,Cambridgeside,617-621-9507,"100 Cambridgeside Place, Suite E108",Suite E108,Cambridge,MA,02141-2218,42.367158,-71.076366
75808,BOS - Terminal A Delta,,Boston Logan International Airport,,East Boston,MA,2128,42.364545,-71.021569
7550,Two Atlantic Avenue,617-723-7819,2 Atlantic Avenue,,Boston,MA,02110-3918,42.36392,-71.050292
72417,BOS - Terminal B - Gates 1-3,,"Boston Logan International Airport, Terminal A",Terminal A,East Boston,MA,2128,42.36265976,-71.01786874
75534,BOS - Gate 25,617-938-4567,Gate 25,,East Boston,MA,2128,42.36241797,-71.01833911
7338,Central Square,617-354-5471,655 Massachussets Ave,,Cambridge,MA,02139-3336,42.365661,-71.103707
75649,BOS - Terminal B - Pier B,617-634-6097,Boston Logan Term B Pier A-Tampopo,,East Boston,MA,2128,42.36205,-71.019871
8742,Cambridge Center,617-577-7511,6 Cambridge Center,,Cambridge,MA,02142-1401,42.363719,-71.087931
72208,Marriott Boston Cambridge,617-494-6600,2 Cambridge Center,,Cambridge,MA,02142-1600,42.362501,-71.084694
857,Cambridge Street,617-227-2959,222 Cambridge Street,,Boston,MA,02114-2710,42.361026,-71.066486
75637,Boston Long Wharf Marriott,617-227-0800,296 State St,,Boston,MA,02109-2607,42.359776,-71.05213
862,Fanueil Hall,617-227-3821,2-4 Faneuil Hall Market Place,,Boston,MA,02109-6175,42.359591,-71.055841
883,Steaming Kettle,617-227-2284,63-65 Court Street,,Boston,MA,02108-2109,42.359465,-71.059376
9463,84 State Street,617-523-3053,84 State Street,,Boston,MA,02109-2202,42.359121,-71.0556
864,Charles Street,617-227-3812,97 Charles Street,,Boston,MA,02114-3251,42.358883,-71.070565
875,Devonshire,617-720-2220,240 Washington St.,,Boston,MA,02108-4603,42.357898,-71.057821
7535,27 School Street,617-227-7731,27 School Street,,Boston,MA,02108-4633,42.357726,-71.05922
7805,One International Place,617-737-4688,1 International Place,,Boston,MA,02110-2602,42.35645,-71.051818
3773,Target Watertown T-1442,,550 Arsenal Street,,Watertown,MA,02472-2853,42.364217,-71.156993
7268,One Federal Bldg.,617-357-6410,1 Federal Street,,Boston,MA,02110-2012,42.356101,-71.056999
801,Starbucks Boston Common,617-742-2664,65-66 Beacon,,Boston,MA,2108,42.356349,-71.069312
7531,12 Winter Street,617-542-1313,12 Winter Street,,Boston,MA,02108-4704,42.355708,-71.061027
7382,Watertown - Mt. Auburn,617-926-4644,75 Mt Auburn Street,,Watertown,MA,02472-3924,42.366427,-71.181086
869,Federal Street,617-946-0535,75-101 Federal Street,,Boston,MA,02110-1901,42.355049,-71.057263
7201,211 Congress,617-542-4439,211 Congress Street,,Boston,MA,02110-2410,42.354673,-71.054837
11684,"Cambridge, Memorial Drive",617-661-5817,750 Memorial Drive,,Cambridge,MA,02139-4614,42.357962,-71.115104
10599,125 Summer St.,617-737-0250,125 Summer Street,,Boston,MA,02110-1616,42.35317,-71.057619
7377,One Financial Center-Dewey Sq.,617-428-0019,1 Financial Center,,Boston,MA,02111-2621,42.352262,-71.056024
7564,62 Boylston,617-338-0067,62 Boylston Street,,Boston,MA,02116-4799,42.352251,-71.064439
7686,Brighton/Soldiers Field,617-782-1325,1660-1670 Soldiers Field Rd,,Brighton,MA,02135-1111,42.358906,-71.153598
830,443 Boylston Street,617-536-7177,443 Boylston Street,,Boston,MA,02116-3301,42.351504,-71.072997
807,City Place - Boston,617-227-7332,143 Stuart Street,,Boston,MA,02116-5609,42.351076,-71.065945
870,165 Newbury,617-536-5282,165 Newbury Street,,Boston,MA,02116-2878,42.350805,-71.078872
7916,Saco,207-286-3850,509 Main Street,,Saco,ME,04072-1564,43.508877,-70.434748
78025,Boston DoubleTree,617-956-7900,821 Washington Street,,Boston,MA,02111-1519,42.34896,-71.064154
75830,Renaissance Boston Harbor Lobby,,636 Congress St,,Boston,MA,02210-2803,42.347946,-71.03967
7544,755 Boylston St,617-450-0310,755 Boylston Street,,Boston,MA,02116-2618,42.349256,-71.080937
72111,George Sherman Union Bldg.,617-353-2991,775 Commonwealth Ave.,,Boston,MA,02215-1401,42.351153,-71.108963
75265,Manulife Financial,617-663-3269,601 Congress St,,Boston,MA,02210-2804,42.347488,-71.040334
822,441 Stuart Street,617-859-0703,441 Stuart Street,,Boston,MA,02116-5019,42.348457,-71.076293
7652,Westin Hotel Copley,617-867-0491,"10 Huntington Ave, Ste D",Ste D,Boston,MA,02116-5707,42.34844,-71.077587
75912,Westin Boston Waterfront,617-532-4600,425 Summer St,,Boston,MA,02210-1719,42.3471,-71.043673
10155,Newton Corner,617-796-3720,259 Centre Street,,Newton,MA,02458-1624,42.359008,-71.185313
70015,Boston University-580 Commonwealth,617-353-5450,580 Commonwealth Ave,,Boston,MA,02215-2522,42.349686,-71.10026
7702,874 Commonwealth Avenue,617-734-3691,874 Commonwealth Ave,,Brookline,MA,2215,42.35055,-71.114551
72107,School of Management,617-353-1529,595 Commonwealth Ave,,Boston,MA,02215-1704,42.349331,-71.100046
872,350 Newbury,617-859-5751,350 Newbury Street,,Boston,MA,02115-2718,42.34811,-71.08715
75513,Marriott Boston Copley-Mall Entrnc,617-236-5800,110 Huntington Ave,,Boston,MA,02116-5783,42.346988,-71.079236
7234,Mass Avenue at Havland,617-236-4335,147-151 Massachusetts Avenue,,Boston,MA,02115-2607,42.346806,-71.08752
72163,Boston Sheraton-Main Lobby,617-378-6210,39 Dalton Street,,Boston,MA,02199-3901,42.346573,-71.083844
824,Harvard Street,617-738-8005,473 Harvard Street,,Brookline,MA,02446-2439,42.347042,-71.128464
11726,Fenway Triangle Trilogy,617-867-6545,142-148 Brookline Avenue,,Boston,MA,02215-3907,42.344278,-71.101407
7551,Tremont-South End,617-236-7879,"627 Tremont St, Retail Space #1",Retail Space #1,Boston,MA,02118-1649,42.342611,-71.074641
7823,Brighton Village,617-787-2430,470 Washington St,,Brighton,MA,02135-2674,42.348748,-71.159854
2767,Huntington Plaza,617-536-6501,273 Huntington Ave,,Boston,MA,02115-4506,42.342014,-71.086182
867,Coolidge Corner,617-739-3453,277 Harvard St,,Brookline,MA,02446-2908,42.342587,-71.12163
75363,Northeastern U - Curry Student Ctr,617-373-8860,346 Huntington Ave,,Boston,MA,02115-5005,42.339585,-71.089353
7384,Newtonville,617-965-5997,16-18 Austin Street,,Newtonville,MA,02460-1820,42.350435,-71.207591
7224,Beth Israel,617-277-2350,364 Brookline Ave.,,Boston,MA,02215-5401,42.338293,-71.106176
7804,Childrens' Hospital,617-277-5202,283 Longwood Avenue,,Boston,MA,02115-5704,42.337712,-71.104718
7336,Brookline-Washington Sq.,617-232-5940,1655 Beacon Street,,Brookline,MA,02445-4505,42.338746,-71.13663
7481,Brookline Village,617-232-5063,15 Harvard Street,,Brookline,MA,02445-7904,42.333719,-71.118719
16439,Cleveland Circle,617-232-0119,1948 Beacon St,,Brighton,MA,02135-7701,42.33608,-71.150371
76139,Target Dorchester T-1898,617-602-1921,7 Allstate Rd,,Boston,MA,02125-1655,42.32887,-71.062881
8741,Newton,617-964-9690,1269 Centre Street,,Newton Centre,MA,02459-1538,42.330258,-71.194991
811,Chestnut Hill,617-738-6939,1154-1160 Boylston Street,,Chestnut Hill,MA,02467-2324,42.323624,-71.162437
835,Waban,617-244-0390,474 Woodward Street,,Waban,MA,02468-1521,42.32642,-71.230214
7797,Newton Lower Falls,617-630-9870,2322 Washington Street,,Newton,MA,2462,42.325456,-71.256504
76403,Target Leominster T-1965,978-534-2914,86 Orchard Hill Park Dr,,Leominster,MA,01453-7020,42.527313,-71.713782
880,South Brookline,617-325-6261,183 Grove St,,South Brookline,MA,2467,42.303253,-71.152063
7270,Newton Upper Falls,617-332-8839,244 Needham Street,,Newton,MA,2464,42.309391,-71.213785
8956,"Leominster, Commercial Road",978-840-1670,14 Commercial Rd,,Leominster,MA,01453-3338,42.53507,-71.741658
7301,Sudbury,978-579-9977,513 Boston Post Road,,Sudbury,MA,01776-3313,42.359303,-71.430362
7808,West Roxbury- Roche Bros.,617-325-4717,1810 Centre Street,,West Roxbury,MA,02132-1901,42.287204,-71.152575
7227,Needham,781-444-6234,910 Highland Ave.,,Needham,MA,2494,42.293244,-71.235098
7314,Wayland,508-655-1109,44 Main Street,,Wayland,MA,01778-5056,42.31709,-71.364036
10962,"Wellesley, Linden Square",781-235-2390,101 Linden Street,,Wellesley,MA,02482-7907,42.297805,-71.295437
868,Wellesley,781-237-5282,68A Central Street,,Wellesley,MA,02482-5806,42.29598,-71.296342
16092,Natick Route 9,508-655-3423,333 Worcester St,,Natick,MA,01760-2212,42.302288,-71.338926
7565,East Milton Square(552 Adams St),617-296-0790,552 Adams Street,,Milton,MA,02186-5629,42.25799,-71.039547
7992,"Quincy, Monroe Place",617-770-4953,1245 Hancock Street,,Quincy,MA,02169-4320,42.252762,-71.004839
15209,Target Framingham T-1308,508-628-3136,400 Cochituate Rd,,Framingham,MA,01701-4655,42.305604,-71.397713
7218,Framingham (B&N),508-820-1204,1 Worcester Road,,Framingham,MA,01701-5304,42.301904,-71.395998
874,Natick,508-650-2081,1346 Worcester Road,,Natick,MA,01760-1501,42.298075,-71.38708
9523,"Dedham Mall, Pad",781-751-9036,300 Providence Highway,,Dedham,MA,02026-1875,42.253684,-71.170488
7328,Hingham,781-749-5474,184 Lincoln Street,,Hingham,MA,02043-1718,42.248889,-70.903786
70090,Roche Bros - Quincy #513,617-471-0500,101 Falls Boulevard,,Quincy,MA,02169-8126,42.237861,-70.984275
7399,Wild Harvest/Framingham,508-879-9185,25 Prospect St,,Framingham,MA,01701-6800,42.298732,-71.422425
10167,"Riverhead, Tanger II",631-727-7015,"1770 West Main Street, Suite 1400",,Riverhead,NY,11901-7407,40.91709,-72.709457
13718,Mattituck,631-298-4563,10095 Main Road,,Mattituck,NY,11952-1529,40.985873,-72.539072
7718,Hampton Bays,631-728-7530,24 Montauk Highway,,Hampton Bays,NY,11946,40.878641,-72.521415
7861,Manorville,631-395-8097,485 CR-111,,Manorville,NY,11949,40.852492,-72.789541
7406,Bridgehampton Village,631-537-5851,2488 Montauk Hwy,,Bridgehampton,NY,11932,40.9376,-72.30177
7844,Miller Place,631-331-0405,"385 Route 25 A, 14",14,Miller Place,NY,11764-2525,40.941748,-72.987096
79377,Stop & Shop-Medford #583,631-345-0250,700-60 Patchogue Yaphank Rd,,Medford,NY,11763-2239,40.805119,-72.95693
76412,Target Medford T-1948,631-286-0287,2975 Horseblock Rd,,Medford,NY,11763-2526,40.824912,-72.988943
9922,"Medford, Route 112",631-207-1480,2717 Route 112,,Medford,NY,11763-2560,40.822287,-72.996881
7528,Selden,631-696-4762,1251 Middle Country Road,,Selden,NY,11784-2523,40.863019,-73.055053
7210,Port Jefferson,631-476-3791,"201 Main Street, Unit C",Unit C,Port Jefferson,NY,11777-1696,40.945765,-73.068309
11974,"East Setauket, Nesconset HIghway",631-642-0263,4020 Nesconset Highway,,East Setauket,NY,11733-3306,40.904305,-73.073763
13631,"Patchogue, Waverly Plaza",631-207-2102,371 North Service Rd,,Patchogue,NY,11772-1905,40.777284,-73.03153
7614,Centereach,631-585-8462,1942 Middle Country Road,,Centereach,NY,11720-3535,40.85748179,-73.088909
7884,East Hampton Village,631-329-8645,39 Main Street,,East Hampton,NY,11937-2701,40.963409,-72.186252
15617,Target South Setauket T-1191,631-580-5356,255 Pond Path,,Centereach,NY,11720-2007,40.884101,-73.102418
10284,Bayport,631-472-0151,911 Montauk Highway,,Bayport,NY,11705-1613,40.748537,-73.047965
7432,East Setauket,631-941-0446,246 Route 25-A,,Setauket,NY,11733-2885,40.94058,-73.10832
7701,Madison - CT,203-245-1554,613 Boston Post Road,,Madison,CT,06443-3080,41.279851,-72.598418
7635,Stony Brook (347),631-689-1762,1320 Stony Brook Road,,Stony Brook,NY,11790-2206,40.877278,-73.118521
75419,Stony Brook University-Long Island-,631-632-6529,Student Activities Center,,Stony Brook,NY,11794,40.914777,-73.123755
75901,ISP - Islip Gate 4 SW Terminal,631-285-7684,100 Arrival Ave,,Ronkonkoma,NY,11779-7389,40.78996472,-73.09528053
10046,Smith Haven Mall,631-863-2061,528 Smith Haven Mall,,Lake Grove,NY,11755-1206,40.86649815,-73.12914
7485,Branford,203-483-1260,6 N Main St,,Branford,CT,06405-3022,41.277428,-72.82753
75705,Travel Ctr-New Haven,203-481-0301,3 E Industrial Rd,,Branford,CT,06405-6508,41.297025,-72.763271
7447,Sayville,631-244-8983,59 Main Street,,Sayville,NY,11782-2501,40.735674,-73.083368
70319,SUNY Stony Brook University Hospita,631-444-7356,250 Stony Brook Union,,Stony Brook,NY,11794,40.9144,-73.1479
14795,"Nesconset, Smithtown Blvd.",631-979-3093,465 Smithtown Blvd.,,Nesconset,NY,11767-2421,40.83332,-73.146733
7503,Bohemia,631-218-3179,4577 Sunrise Highway,,Oakdale,NY,11716-4605,40.754806,-73.116122
7986,"Old Saybrook, Main Street",860-388-3133,15 Main St,,Old Saybrook,CT,06475-1511,41.296462,-72.377211
73804,Stop & Shop-West Haven #696,203-931-8843,460 Elm St,,West Haven,CT,06516-4233,41.271873,-72.956854
7411,Smithtown,631-265-1960,1 Miller Place,,Smithtown,NY,11787-3629,40.855621,-73.191432
14745,"West Haven, Saw Mill Road",203-479-4022,354 Saw Mill Road,,West Haven,CT,06516-4015,41.271304,-72.972385
76547,Target Milford T-2045,203-859-3694,1911 Boston Post Road,,Milford,CT,6460,41.235084,-73.037422
10353,Post Mall Pad,203-878-1865,1319 Boston Post Rd.,,Milford,CT,06460-2710,41.238522,-73.035378
7388,Orange,203-795-4612,538 Boston Post Rd.,,Orange,CT,06477-3555,41.25796489,-73.0125058
11903,"New Haven, Chapel Square",203-787-9108,896 Chapel Street,,New Haven,CT,06510-2801,41.30604,-72.926124
7461,New Haven / Chapel Street,203-624-3361,1068-1070 Chapel St,,New Haven,CT,06510-2402,41.307781,-72.930264
76307,Target Orange T-1955,203-859-3694,25 Boston Post Rd,,Orange,CT,06477-3203,41.280062,-72.987554
76582,Target Central Islip T-2102,631-297-2011,160 N Research Pl,,Central Islip,NY,11722-4458,40.772734,-73.20139
7813,Hauppauge - Route 111,631-724-0928,513 Hauppauge Rd - Rte 111,,Hauppauge,NY,11788,40.815113,-73.218243
76268,Target North Haven T-1916,203-859-3490,200 Universal Dr N,,North Haven,CT,06473-3156,41.353943,-72.871383
9265,"Stratford, Barnum Avenue",203-380-8111,1106 Barnum Ave,,Stratford,CT,06614-4901,41.198997,-73.133723
7651,Islip Village,631-581-4239,455 Main St,,Islip,NY,11751-3536,40.729112,-73.21488
11811,"Jericho Tpke, Commack",631-543-0140,2055A Jericho Tpke,,Commack,NY,11725-3007,40.845046,-73.274902
8646,Woodbridge-Merritt Parkway,203-392-0283,1660 Litchfield Turnpike,,Woodbridge,CT,06525-2306,41.340186,-72.97777
2747,Hamden,203-230-0868,2100 Dixwell Avenue,,Hamden,CT,06514-2406,41.370529,-72.919006
76306,Target Trumbull T-1956,203-455-0102,120 Hawley Ln,,Trumbull,CT,06611-5347,41.233475,-73.151583
15620,Target Commack T-1108,631-462-8969,98 Veterans Memorial Hwy,,Commack,NY,11725-3432,40.839025,-73.28691
10948,"Derby, New Haven Ave",203-736-9514,552 New Haven Avenue,,Derby,CT,06418-2538,41.312535,-73.055818
7752,North Haven,203-985-8385,166 Washington Avenue,,North Haven,CT,06473-1711,41.397931,-72.852245
2783,"Commack, Crooked Hill",631-858-0167,125 Crooked Hill Road,,Commack,NY,11725-5429,40.806366,-73.288651
9641,"Shelton, Crown Point Center",203-929-4351,504 Bridgeport Avenue,,Shelton,CT,06484-4765,41.287854,-73.112944
72572,Stop & Shop-Fairfield # 673,203-333-0004,760 Villa Avenue,,Fairfield,CT,06825-4874,41.175681,-73.22893
16976,Follett-Fairfield University,203-255-7910,1499 Post Rd,,Fairfield,CT,06824-5940,41.141087,-73.257966
10264,"Fairfield, Boston Post Rd",203-254-2142,1740 Boston Post Rd,,Fairfield,CT,6824,41.141437,-73.262251
10329,"E. Northport, Larkfield Rd",631-266-1879,506 Larkfield Rd,,East Northport,NY,11731-4202,40.863832,-73.321131
15413,Target Bay Shore T-1148,631-969-8958,838 Sunrise Hwy,,Bay Shore,NY,11706-5908,40.729101,-73.278881
10283,Northport Village,631-754-0840,832A Fort Salonga Road,,Northport,NY,11768-2276,40.898545,-73.330773
10045,"East Northport, Rte. 25",631-499-0258,3011 Jericho Tpke.,,East Northport,NY,11731-6215,40.839351,-73.323878
14368,"Tanger Outlets, Deer Park",631-242-0802,529 The Arches Circle,,Deer Park,NY,11729-7061,40.76462,-73.304116
7252,Trumbull,203-452-0108,938 White Plains Road,,Trumbull,CT,06611-4550,41.245464,-73.196984
7668,Fairfield / Black Rock Tpk.,203-362-0347,2171 Black Rock Turnpike,,Fairfield,CT,06825-3244,41.181545,-73.252475
76780,Target Ansonia T-2249,203-278-5055,20 W Main St,,Ansonia,CT,06401-1812,41.342144,-73.07957
9292,East Lyme,860-739-7658,267 Flanders Road,,East Lyme,CT,6333,41.3687,-72.2297
76967,Target Trumbull West T-2361,203-873-7827,5065 Main St,,Trumbull,CT,06611-4204,41.230714,-73.227025
4196,Stop & Shop-Westport #653,203-254-8484,1790 Post Rd E,,Westport,CT,06880-5607,41.13819,-73.30148
7455,"Deer Park, Rt. 231",631-243-3881,1932 Deer Park Avenue,,Deer Park,NY,11729-3333,40.763115,-73.330076
7505,Post Road #925/Westport II,203-226-8017,925 Post Road East,,Westport,CT,06880-5341,41.138443,-73.333057
9846,West Babylon,631-669-3451,519 Montauk Highway,,West Babylon,NY,11704-8308,40.688312,-73.340442
13783,"Seymour, Rt. 67",203-881-8130,253 West St.,,Seymour,CT,06483-2648,41.398532,-73.088766
79465,Stop & Shop-Babylon #543,,88 Golding Avenue,,Babylon,NY,11704-6203,40.710779,-73.361785
804,West Port,203-454-3205,1 Parker Harding Plaza,,Westport,CT,06880-3209,41.141348,-73.362035
7722,Walt Whitman Mall,631-423-1392,160 Walt Whitman Road,,Huntington Station,NY,11746-4130,40.82324981,-73.412254
10020,"Meriden, S. Broad St.",203-235-0268,500 South Broad Street,,Meriden,CT,06450-6643,41.50887,-72.808914
855,Huntington,631-421-3459,1 Wall Street,,Huntington,NY,11743-2046,40.871268,-73.427555
7576,Melville,631-692-0392,64 Broad Hollow Road,,Melville,NY,11747-2504,40.790731,-73.415927
7864,"Norwalk, Dansk Plaza",203-840-1052,56 Westport Ave,,Norwalk,CT,06851-3915,41.121625,-73.404327
11782,"Groton, Rte. 1",860-449-9006,985 A Poquonnock Rd.,,Groton,CT,06340-4271,41.346051,-72.048635
76137,Target Farmingdal T-1866,,2121 Broadhollow Rd,,Farmingdale,NY,11735-1009,40.751759,-73.419075
